0.005,168.3
0.01,90.5
0.015,96.0
0.02,90.7
0.025,89.0
0.03,89.4
0.035,89.3
0.04,91.1
0.045,88.8
0.05,89.9
0.055,89.5
0.06,89.0
0.065,88.8
0.07,88.8
0.075,89.2
0.08,90.7
0.085,88.8
0.09,88.6
0.095,88.8
0.1,88.8
0.105,88.4
0.11,88.8
0.115,88.7
0.12,89.0
0.125,88.8
0.13,88.8
0.135,88.7
0.14,88.7
0.145,88.5
0.15,88.7
0.155,88.6
0.16,88.9
0.165,88.8
0.17,88.6
0.175,88.5
0.18,88.4
0.185,88.6
0.19,88.5
0.195,88.7
0.2,88.7
0.205,88.9
0.21,88.6
0.215,88.8
0.22,90.2
0.225,89.2
0.23,88.7
0.235,88.5
0.24,88.9
0.245,89.1
0.25,88.3
